Species,type,body_size_grams,density,abundance,patch_area,diversity_patch,richness_patch,location,reference
Caluromys philander,marsupial,300,0,NA,21800,NA,NA,NA,Chiarello1999
Didelphis aurita,marsupial,1115,0.66,NA,21800,NA,NA,NA,Chiarello1999
Bradypus torquatus,xenarthra,6000,0,NA,21800,NA,NA,NA,Chiarello1999
Dasypus novemcinctus,xenarthra,4204,0.12,NA,21800,NA,NA,NA,Chiarello1999
Tamandua tetradactyla,xenarthra,5515,0,NA,21800,NA,NA,NA,Chiarello1999
callithrix geoffroyi,primates,342,2.16,NA,21800,NA,NA,NA,Chiarello1999
Callicebus personatus,primates,1350,1.23,NA,21800,NA,NA,NA,Chiarello1999
Cebus apella,primates,2500,2.47,NA,21800,NA,NA,NA,Chiarello1999
Alouatta fusca,primates,8000,0.15,NA,21800,NA,NA,NA,Chiarello1999
Cerdocyon thous,carnivore,5240,0,NA,21800,NA,NA,NA,Chiarello1999
Leopardus tigrinus,carnivore,2250,0,NA,21800,NA,NA,NA,Chiarello1999
Herpailurus yagouarondi,carnivore,6750,0.12,NA,21800,NA,NA,NA,Chiarello1999
Eira barbara,carnivore,3910,0,NA,21800,NA,NA,NA,Chiarello1999
Potos flavus,carnivore,3000,0,NA,21800,NA,NA,NA,Chiarello1999
Nasua nasua,carnivore,3794,0.15,NA,21800,NA,NA,NA,Chiarello1999
Tapirus terrestris,ungulate,207500,0.12,NA,21800,NA,NA,NA,Chiarello1999
Pecari tajacu,ungulate,21266,0,NA,21800,NA,NA,NA,Chiarello1999
Tayassu pecari,ungulate,32233,0,NA,21800,NA,NA,NA,Chiarello1999
Mazama,ungulate,19549.5,2.5,NA,21800,NA,NA,NA,Chiarello1999
Sciurus aeustans,rodent,185,7.55,NA,21800,NA,NA,NA,Chiarello1999
Shiggurus insidiosus,rodent,1300,0,NA,21800,NA,NA,NA,Chiarello1999
Dasyprocta leporina,rodent,3020,6.01,NA,21800,NA,NA,NA,Chiarello1999
Agouti paca,rodent,8000,1.32,NA,21800,NA,NA,NA,Chiarello1999
Chaetomys subspinatus,rodent,1300,0,NA,21800,NA,NA,NA,Chiarello1999
